SL Campbell,WI,1994,2001,90,87,0,2283,105,26.24,3853,59.25,2,14,9
DL Vettori,ICC,1997,2015,295,187,57,2253,83,17.33,2715,82.98,0,4,23
DL Vettori,NZ,1997,2015,295,187,57,2253,83,17.33,2715,82.98,0,4,23
AM Rahane,INDIA,2011,2017,73,71,2,2237,111,32.42,2837,78.85,2,16,6
S Matsikenyeri,ZIM,2002,2015,113,110,9,2224,90,22.01,3072,72.39,0,13,8
DA Miller,SA,2010,2017,93,83,25,2220,138,38.27,2153,103.11,4,8,7
GM Wood,AUS,1978,1989,83,77,11,2219,114,33.62,3725,59.57,3,11,4
MJ Greatbatch,NZ,1988,1996,84,83,5,2206,111,28.28,3099,71.18,2,13,7
JC Adams,WI,1992,2001,127,105,28,2204,82,28.62,3614,60.98,0,14,7
Shahriar Nafees,BDESH,2005,2011,75,75,5,2201,123,31.44,3167,69.49,4,13,11
D Ramdin,WI,2005,2016,139,110,22,2200,169,25,2738,80.35,2,8,4
Habibul Bashar,BDESH,1995,2007,111,105,5,2168,78,21.68,3586,60.45,0,14,18
IT Botham,ENG,1976,1992,116,106,15,2113,79,23.21,2671,79.1,0,9,6
EC Joyce,ENG,2006,2016,63,62,6,2110,160,37.67,2929,72.03,5,12,4
EC Joyce,IRE,2006,2016,63,62,6,2110,160,37.67,2929,72.03,5,12,4
MW Gatting,ENG,1977,1993,92,88,17,2095,115,29.5,2968,70.58,1,9,4
NH Fairbrother,ENG,1987,1999,75,71,18,2092,113,39.47,2903,72.06,1,16,2
RL Powell,WI,1999,2005,109,100,16,2085,124,24.82,2157,96.66,1,8,8
CO Obuya,KENYA,2001,2014,104,89,9,2044,98,25.55,2981,68.56,0,11,6
CL White,AUS,2005,2015,88,74,15,2037,105,34.52,2533,80.41,2,11,4
Yasir Hameed,PAK,2003,2007,56,56,1,2028,127,36.87,3029,66.95,3,12,2
WPUJC Vaas,Asia,1994,2008,322,220,72,2025,50,13.68,2796,72.42,0,1,25
WPUJC Vaas,SL,1994,2008,322,220,72,2025,50,13.68,2796,72.42,0,1,25
NJ O'Brien,IRE,2006,2017,77,76,9,2016,80,30.08,2867,70.31,0,15,3
KO Otieno,KENYA,1996,2009,90,87,1,2016,144,23.44,3561,56.61,2,12,12
SV Manjrekar,INDIA,1988,1996,74,70,10,1994,105,33.23,3101,64.3,1,15,3
MP Vaughan,ENG,2001,2007,86,83,10,1982,90,27.15,2898,68.39,0,16,9
CH Lloyd,WI,1973,1985,87,69,19,1977,102,39.54,2434,81.22,1,11,1
GD Elliott,NZ,2008,2016,83,69,11,1976,115,34.06,2416,81.78,2,11,6
KJ Hughes,AUS,1977,1985,97,88,6,1968,98,24,2919,67.42,0,17,12
A Bagai,Can,2003,2013,62,60,8,1964,137,37.76,2995,65.57,2,16,2
LMP Simmons,WI,2006,2015,68,65,3,1958,122,31.58,2680,73.05,2,16,9
GJ Maxwell,AUS,2012,2017,74,67,8,1957,102,33.16,1562,125.28,1,15,8
Aftab Ahmed,BDESH,2004,2010,85,85,6,1954,92,24.73,2353,83.04,0,14,8
PJL Dujon,WI,1981,1991,169,120,36,1945,82,23.15,2881,67.51,0,6,8
