Aamer Sohail,PAK,1990,2000,156,125,4836,3703,85,4/22,43.56,4.59,56.8,1,0
IJ Harvey,AUS,1997,2004,73,70,3279,2577,85,4/16,30.31,4.71,38.5,4,0
RM Hogg,AUS,1979,1985,71,67,3677,2418,85,4/29,28.44,3.94,43.2,5,0
CB Mpofu,ZIM,2004,2017,76,75,3587,3209,85,6/52,37.75,5.36,42.2,2,1
JR Ratnayeke,SL,1982,1990,78,76,3573,2866,85,4/23,33.71,4.81,42,1,0
MN Samuels,WI,2000,2016,187,126,4901,3932,85,3/25,46.25,4.81,57.6,0,0
ME Waugh,AUS,1988,2002,244,120,3687,2938,85,5/24,34.56,4.78,43.3,1,1
CR Woakes,ENG,2011,2017,61,60,2964,2771,85,6/45,32.6,5.6,34.8,7,2
AG Cremer,ZIM,2009,2017,74,73,3467,2690,84,6/46,32.02,4.65,41.2,2,2
CD Collymore,WI,1999,2007,84,80,4074,2924,83,5/51,35.22,4.3,49,1,1
Junaid Khan,PAK,2011,2017,56,56,2666,2388,83,4/12,28.77,5.37,32.1,3,0
Mohammad Irfan,PAK,2010,2016,60,60,3109,2549,83,4/30,30.71,4.91,37.4,2,0
PV Simmons,WI,1987,1999,143,103,3880,2876,83,4/3,34.65,4.44,46.7,2,0
MJ McClenaghan,NZ,2013,2016,48,45,2336,2313,82,5/58,28.2,5.94,28.4,6,1
CG Rackemann,AUS,1983,1991,52,52,2791,1833,82,5/16,22.35,3.94,34,3,1
JEC Franklin,NZ,2001,2013,110,97,3848,3354,81,5/42,41.4,5.22,47.5,0,1
DJG Sammy,WI,2004,2015,126,119,4956,3851,81,4/26,47.54,4.66,61.1,1,0
RAS Lakmal,SL,2009,2017,58,57,2612,2397,80,4/30,29.96,5.5,32.6,2,0
RGD Willis,ENG,1973,1984,64,64,3595,1968,80,4/11,24.6,3.28,44.9,4,0
CR Matthews,SA,1991,1997,56,55,3003,1975,79,4/10,25,3.94,38,3,0
Mohammad Nabi,AFG,2009,2017,75,73,3490,2469,79,4/31,31.25,4.24,44.1,1,0
A Ranatunga,SL,1982,1999,269,135,4710,3757,79,4/14,47.55,4.78,59.6,1,0
AJ Bichel,AUS,1997,2004,67,66,3257,2463,78,7/20,31.57,4.53,41.7,1,2
IDR Bradshaw,WI,2004,2007,62,62,3172,2299,78,3/15,29.47,4.34,40.6,0,0
PJ Ongondo,Afr,1999,2011,79,79,3102,2350,78,5/51,30.12,4.54,39.7,1,1
PJ Ongondo,KENYA,1999,2011,79,79,3102,2350,78,5/51,30.12,4.54,39.7,1,1
RMH Binny,INDIA,1980,1987,72,67,2957,2260,77,4/29,29.35,4.58,38.4,3,0
Iftikhar Anjum,PAK,2004,2010,62,60,2960,2430,77,5/30,31.55,4.92,38.4,2,1
P Kumar,INDIA,2007,2012,68,67,3242,2774,77,4/31,36.02,5.13,42.1,3,0
R McLaren,SA,2009,2014,54,51,2403,2102,77,4/19,27.29,5.24,31.2,5,0
JE Emburey,ENG,1980,1993,61,61,3425,2346,76,4/37,30.86,4.1,45,2,0
SJ Harmison,ENG,2002,2009,58,57,2899,2481,76,5/33,32.64,5.13,38.1,2,1
RD King,WI,1998,2005,50,50,2603,1807,76,4/25,23.77,4.16,34.2,2,0
RJ Ratnayake,SL,1982,1993,70,70,3575,2712,76,5/32,35.68,4.55,47,1,1
GB Brent,ZIM,1996,2008,70,69,3390,2776,75,4/22,37.01,4.91,45.2,3,0
RJ Peterson,SA,2002,2014,79,74,3278,2680,75,4/12,35.73,4.9,43.7,3,0
S Sreesanth,INDIA,2005,2011,53,52,2476,2508,75,6/55,33.44,6.07,33,2,1
HMRKB Herath,SL,2004,2015,71,67,3242,2362,74,4/20,31.91,4.37,43.8,1,0
W Watson,NZ,1986,1994,61,61,3251,2247,74,4/27,30.36,4.14,43.9,1,0
AR Border,AUS,1979,1994,273,87,2661,2071,73,3/20,28.36,4.66,36.4,0,0
RS Kalpage,SL,1992,1999,86,81,3960,2975,73,4/36,40.75,4.5,54.2,2,0
S Madan Lal,INDIA,1974,1987,67,64,3164,2137,73,4/20,29.27,4.05,43.3,2,0
LE Plunkett,ENG,2005,2017,49,49,2408,2348,73,4/40,32.16,5.85,32.9,1,0
J Botha,Afr,2005,2012,78,75,3823,2916,72,4/19,40.5,4.57,53,1,0
J Botha,SA,2005,2012,78,75,3823,2916,72,4/19,40.5,4.57,53,1,0
GS Chappell,AUS,1971,1983,74,67,3108,2097,72,5/15,29.12,4.04,43.1,0,2
PL Symcox,SA,1993,1999,80,80,3991,2762,72,4/28,38.36,4.15,55.4,1,0
Dawlat Zadran,AFG,2011,2017,51,50,2331,2076,71,4/22,29.23,5.34,32.8,2,0
JO Holder,WI,2013,2017,52,52,2486,2259,71,4/13,31.81,5.45,35,3,0
DBL Powell,WI,2002,2009,55,55,2850,2239,71,4/27,31.53,4.71,40.1,2,0
Sohail Tanvir,PAK,2007,2014,62,60,2949,2566,71,5/48,36.14,5.22,41.5,3,1
EA Brandes,ZIM,1987,1999,59,59,2828,2266,70,5/28,32.37,4.8,40.4,1,2
BM McMillan,SA,1991,1998,78,75,3623,2589,70,4/32,36.98,4.28,51.7,1,0
Mahmudullah,BDESH,2007,2016,134,111,3624,3083,70,3/4,44.04,5.1,51.7,0,0
NN Odhiambo,KENYA,2006,2014,69,67,2808,2585,70,4/61,36.92,5.52,40.1,1,0
AR Caddick,ENG,1993,2003,54,53,2937,1965,69,4/19,28.47,4.01,42.5,3,0
SB Joshi,INDIA,1996,2001,69,67,3386,2509,69,5/6,36.36,4.44,49,1,1
RP Singh,INDIA,2005,2011,58,57,2565,2343,69,4/35,33.95,5.48,37.1,2,0
RR Singh,INDIA,1989,2001,136,117,3734,2985,69,5/22,43.26,4.79,54.1,0,2
CPH Ramanayake,SL,1986,1995,62,62,2864,2049,68,4/17,30.13,4.29,42.1,1,0
HA Varaiya,KENYA,2006,2014,63,60,2951,2048,68,4/25,30.11,4.16,43.3,2,0
MA Ealham,ENG,1996,2001,64,62,3227,2197,67,5/15,32.79,4.08,48.1,1,2
JR Hopes,AUS,2005,2010,84,75,3157,2384,67,5/14,35.58,4.53,47.1,0,1
